champion_chinese,champion_url,play_strats,counter_strats,champion_name_cn,champion_name_eng,play_strats_en,counter_strats_en
天启者 卡尔玛,https://lol.qq.com/data/info-defail.shtml?id=43,"
- 聚能之炎鼓励激进型的打法。找机会把技能和普攻扔到你的对手身上，来降低梵咒的冷却时间，并保持攻击的态势。
- 在使用坚定不移时，先用心灵烈焰来减速你的敌人，或者用鼓舞来加强自己的速度，就能帮你解决跟不上目标的烦恼。
- 在有梵咒时，不要过于保守。聚能之炎是最强大的团战技能，因此可以轻Master Yi地为梵咒进行多次充能。","
- Karma的被动技能，会在她用技能和普攻命中敌人时减少梵咒的冷却时间。不要给她白打你的机会。
- Karma的灵光闪耀会在落地区域喷发，造成额外伤害。反应快一点，走出那个圈就可以避免承受成吨的伤害。
- 坚定不移是一个强大的脱身手段。保持足够远的距离，来避免被束缚，并在之后寻求交战的时机。",卡尔玛,Karma,"-Energizing Flame encourages aggressive play. Find opportunities to throw skills and basic attacks on your opponents to reduce the cooldown of the mantra and maintain the attacking posture.  -When using Perseverance, first use the psychic flame to slow down your enemy, or use encouragement to strengthen your speed, which can help you solve the trouble of not keeping up with the target.  -When there are mantras, don't be too conservative. Gathering Flame is the most powerful teamfighting skill, so you can charge the Mantra multiple times with less Master Yi. ","-Karma's passive skills will reduce the cooldown of the Mantra when she hits an enemy with her skills and basic attacks. Don't give her a chance to hit you in vain.  -Karma's aura will erupt on the landing area, causing additional damage. Respond faster, and step out of that circle can avoid suffering tons of damage.  -Perseverance is a powerful means of getting out. Keep a distance far enough to avoid being restrained, and seek a chance to fight later. "
瓦洛兰之盾 塔里克,https://lol.qq.com/data/info-defail.shtml?id=44,"
- 【正气凌人】的冷却缩减部分，让诸如【冰霜之心】、【冰脉护手】和【振奋盔甲】等冷却缩减装在Taric身上尤显强大。
- 使用低充能数的【Q星光之触】会导致同样法力带来的治疗效果变少，但可通过【正气凌人】来极大地提升Taric的持续伤害。
- 与其把【R宇宙之辉】留到最后时刻并让所有人在延迟期间都有丧命的危险，不如在你预感到团战即将开始的时候尽快施放。","
- Taric的终极技能【R宇宙之辉】会在生效前有段很长的延迟时间。尽量快速做出判断，来看看是否能够脱离战斗或在这段延迟时间内击杀掉他的友军。
- Taric的被动技能【正气凌人】，可让他通过对敌人进行普攻来减少他的技能冷却时间。尽量在团战中放他风筝，并在新一波小兵还没到达时教训他。",塔里克,Taric,"-The cooling reduction part of [Corrective Righteousness] makes the cooling reductions such as [Frost Heart], [Ice Vein Gauntlets] and [Invigorating Armor] especially powerful on Taric.  -Using [Q Starlight Touch] with a low charge number will result in less healing effects brought by the same mana, but the continuous damage of Taric can be greatly increased through [Righteousness].  -Rather than save [R Universe Radiance] until the last moment and put everyone in danger of death during the delay, it is better to cast it as soon as you have a foreboding that the team battle is about to begin. ",-Taric’s ultimate skill [R Universe Radiance] will have a long delay before it takes effect. Try to make a judgment as quickly as possible to see if you can get out of the battle or kill his allies within this delay time.  -Taric’s passive skill [Righteousness Domination] allows him to perform basic attacks on enemies to reduce the cooling time of his skills. Try to fly him a kite in team battles and teach him before the new wave of soldiers arrive. 
邪恶小法师 维迦,https://lol.qq.com/data/info-defail.shtml?id=45,"
- 使用扭曲空间来确保暗黑物质成功击中。
- Veigar极度依赖和冷却缩减。买一些增加以上属性的装备，会令你的被动技能更有效，并能让你可以施放更多的黑暗祭祀。
- Veigar是非常脆弱的，尽量保证你有至少一个召唤师技能用来防身。","
- 黑暗物质能造成巨大伤害，但可以避免。留意声音和视觉指示，了解技能施放的时间和地点。
- 扭曲空间技能只晕眩边缘上的单位。如果你在技能范围内而不穿过边缘，你仍能移动和攻击。
- Veigar的终极技能伤害会基于你的已损失生命值而提升。",维迦,Veigar,"-Use warped space to ensure that the dark matter is successfully hit.  -Veigar is extremely dependent and cool down. Buying some equipment that increases the above attributes will make your passive skills more effective and allow you to cast more dark priests.  -Veigar is very fragile, try to ensure that you have at least one summoner skill to defend yourself. ","-Dark matter can cause great damage, but it can be avoided. Pay attention to the sound and visual instructions to understand when and where the skill is cast.  -The space warp skill only stuns units on the edge. If you are within the skill range and do not cross the edge, you can still move and attack.  -Veigar's ultimate skill damage will increase based on your lost health. "
巨魔之王 特朗德尔,https://lol.qq.com/data/info-defail.shtml?id=48,"
- Trundle擅长在冰封领域内战斗。试着把敌人引到此区域内。
- 用强权至上来削弱强大的敌方坦克或以此让你的队伍集中火力。
- 利齿撕咬能够很好地降低敌人的物理伤害，试着将此技能用于敌方的物理输出英雄。","
- Trundle在特定地形下作战能力超强。试着让他离开冰封领域。
- 尽快逃离他的寒冰之柱，因为它会极大地减慢你的速度。",特朗德尔,Trundle,"-Trundle is good at fighting in the frozen realm. Try to lead the enemy into this area.  -Use supremacy to weaken powerful enemy tanks or let your team focus their firepower.  -Tooth bite can reduce the enemy's physical damage well, try to use this skill for the enemy's physical output hero. ","-Trundle has strong combat capability in specific terrain. Try to get him out of the frozen realm.  -Escape his Pillar of Ice as soon as possible, because it will greatly slow down your speed. "
诺克萨斯统领 斯维因,https://lol.qq.com/data/info-defail.shtml?id=50,"
- 如果你很难用【永不复行】来束缚住敌人，可以试试趁着敌人靠近敌方小兵的时候释放该技能，来用爆炸带给TA惊喜。
- 在兵线上时，尽量试着从一个安全的距离上利用【解脱之手】的穿透伤害来消耗敌人。
【帝国视界】本身非常难以命中敌人，所以要时刻留意地图各处的遭遇战，来对那些被干扰了注意力或被控制的敌人使用，这样就能更Master Yi命中敌人。
- 【恶魔升华】也许会让Swain非常难以被击杀，但敌人也可以非常容Master Yi地走出技能范围。如果敌人的机动性已经高到爆表，可以尝试购买一些减速装备，来将敌人留在技能范围内。","
- 如果你被定身，那么Swain的被动就会非常强大。请打起十二分的精神来应对那些拥有定身技能的敌方英雄。
- 高机动性可以克制Swain的所有基础技能：【解脱之手】是对越近的敌人造成越多伤害，【帝国视界】拥有一个非常久的延迟，而【永不复行】则必须是在返程途中才会特别危险。
购买任一带有【重伤】效果的装备，即在Swain开启【恶魔升华】期间更Master Yi将他击杀。",斯维因,Swain,"-If it is difficult for you to use [Never Go Back] to restrain the enemy, you can try to release this skill while the enemy is close to the enemy minion to surprise him with the explosion.  -When on the pawn line, try to use the penetration damage of [Hand of Liberation] to consume the enemy from a safe distance.  [Imperial Vision] itself is very difficult to hit the enemy, so you should always pay attention to the encounters around the map, and use it against those enemies who are interrupted or controlled, so that Master Yi can hit the enemy more.  -[Demon Ascension] It may make Swain very difficult to kill, but the enemy can also easily get out of the skill range for Master Yi. If the enemy's mobility is too high, you can try to buy some slowing equipment to keep the enemy within the skill range. ","-If you are rooted, Swain's passive will be very strong. Please work hard to deal with enemy heroes who have the ability to freeze.  -High mobility can restrain all basic skills of Swain: [Hand of Liberation] is to cause more damage to enemies that are closer, [Imperial Vision] has a very long delay, and [Never Go Back] must be in It is especially dangerous on the way back.  Purchasing any equipment with the effect of [Serious Injury] means that Master Yi will kill him when Swain opens [Demon Ascension]. "
皮城女警 凯特琳,https://lol.qq.com/data/info-defail.shtml?id=51,"
- 充分利用约德尔诱捕器，先发制人，确保在战斗过程中随时可以放置新的诱捕器。
- 不要在团战中使用让子弹飞，因为很容Master Yi被其他目标误挡。
- 发射90口径绳网来远离敌人、拉近距离或穿墙。","
- 如果Caitlyn用和平使者骚扰你，记得躲在自己的小兵后面（这样受到的伤害会更少）。
- 如果你站在让子弹飞的发射路径上，你可以帮助友军拦截子弹。",凯特琳,Caitlyn,"-Make full use of the Yordel traps and take the initiative to ensure that new traps can be placed at any time during the battle.  -Don't use letting bullets fly in team battles, because it is easy for Master Yi to be missed by other targets.  -Launch a 90-caliber rope net to stay away from the enemy, close the distance or go through walls. ","-If Caitlyn uses Peace Messenger to harass you, remember to hide behind your creeps (so you will suffer less damage).  -If you stand on the launch path that lets the bullet fly, you can help the friendly forces intercept the bullet. "
蒸汽机器人 布里茨,https://lol.qq.com/data/info-defail.shtml?id=53,"
- 机械飞爪、能量铁拳和静电力场的1
-2
-3组合可以摧毁一名落单的对手。
- 使用Blitzcrank的抓取将一名敌人拉入你们的防御塔射程内，继而一记能量铁拳可以让防御塔对他们进行多发射击。","
- Blitzcrank的被动技能【法力屏障】能够在他濒死时提供一个吸收伤害的护盾。
- 躲在小兵后面能够防止被Blitzcrank抓。Blitzcrank的机械飞爪只能够抓住第一个碰到的敌人。",布里茨,Blitzcrank,"-Mechanical flying claws, energy iron fist and electrostatic force field 1  -2  -3 combination can destroy a single opponent.  -Use Blitzcrank's grab to pull an enemy into the range of your defense tower, and then an energy fist can make the defense tower shoot them multiple times. ",-Blitzcrank's passive skill [Mana Barrier] can provide a damage-absorbing shield when he is dying.  -Hiding behind the creeps can prevent being caught by Blitzcrank. Blitzcrank's mechanical flying claws can only catch the first enemy it encounters. 
熔岩巨兽 墨菲特,https://lol.qq.com/data/info-defail.shtml?id=54,"
- 护甲能降低花岗岩护盾在承受敌方攻击时的损耗速度，因此在敌人摧毁护盾前激活野蛮打击，可以加强护盾对物理伤害的承受能力。
- 虽然他的多数技能可通过护甲来提升伤害，但有些对局还是需要Malphite拥有魔法抗性。当这种情况出现时，可以试试购买军团圣盾，水银之靴以及守护天使等物品。","
- 若你是物理伤害英雄，攻击Malphite时站在友军后方。大地震颤会极大地减少你的伤害。
- Malphite是少数具备打野能力的坦克之一。如果看到Malphite带了惩戒，就要当心了。",墨菲特,Malphite,"-Armor can reduce the attrition speed of the granite shield when it is attacked by the enemy. Therefore, activating the barbaric strike before the enemy destroys the shield can strengthen the shield's ability to withstand physical damage.  -Although most of his skills can increase damage through armor, some games still require Malphite to have magic resistance. When this happens, you can try to buy items such as the Legion’s Aegis, Mercury Boots and Guardian Angels. ","-If you are a physical damage hero, stand behind allies when attacking Malphite. A major earthquake tremor will greatly reduce your injuries.  -Malphite is one of the few tanks with jungle capabilities. If you see Malphite bringing punishment, you must be careful. "
不祥之刃 卡特琳娜,https://lol.qq.com/data/info-defail.shtml?id=55,"
- 拾取匕首会显著降低【E瞬步】的冷却时间。
- 等到敌方正与我方缠斗之际，用【E瞬步】加入战局，并释放一朵毁灭性的【R死亡莲华】。
- 对友军英雄、匕首或小兵使用瞬步是个很好的逃跑手段。","
- Katarina的技能对目标造成魔法伤害，尽管她购买增加攻击的物品，你也可使用魔抗应对。
- 推荐为Katarina的死亡莲华保留一个限制技能。",卡特琳娜,Katarina,"-Picking up the dagger will significantly reduce the cooling time of [E Shunbu].  -When the enemy is fighting with us, use [E Shunbu] to join the battle and release a devastating [R Death Lotus].  -Using instant step on friendly heroes, daggers or minions is a good way to escape. ","-Katarina's skills cause magical damage to the target, although she buys items that increase her attack, you can also use magic resistance to deal with it.  -It is recommended to reserve a restricted skill for Katarina's Death Lotus. "
永恒梦魇 魔腾,https://lol.qq.com/data/info-defail.shtml?id=56,"
- 在千钧一发之际施放终极技能是非常划算的，即使你不能用它来突进。
- 梦魇之径不仅是攻击技能，还可以让你远离战斗或者从必死的境地之中逃脱。
- 在终极技能突进时使用黑暗庇护，也许会让恐慌的敌人在你的护盾上浪费一次限制技能。","
- 当Nocturne施放终极技能时，和友军站近一点儿，这样才能一起以众敌寡！
- Nocturne的无言恐惧有范围限制，所以预留好你的移动技能，好在Nocturne施放此技能时逃开。",魔腾,Nocturne,"-It is very cost-effective to cast ultimate skills at the very moment, even if you can't use it to advance.  -The Path of the Nightmare is not only an attack skill, but also allows you to stay away from battle or escape from a mortal situation.  -Use the dark shelter when the ultimate skill rushes, and it may cause the panic enemy to waste a restricted skill on your shield. ","-When Nocturne casts ultimate skills, stand a little closer to your allies, so that you can fight the enemy together!  -Nocturne's silent fear has a range limit, so reserve your movement skills so that you can escape when Nocturne casts this skill. "
扭曲树精 茂凯,https://lol.qq.com/data/info-defail.shtml?id=57,"
- 树苗可以投进草丛里，来获取强化效果——但同样不会堆叠。
- 尽量不要从正面上，从侧面或其他角度切入，会让自然之握变得无法躲避或给敌人来一次“惊喜”。
- Maokai的被动会让他在面对技能的集火时尤为持久——前提是他仍然可以进行普攻。","
- 树苗会追击第一个距离它过近的敌人，但会在几秒后或与其它敌人碰撞后爆炸。要特别当心草丛里的树苗，因为它们会更加危险。
- Maokai的自我治疗的冷却时间严重依赖于你用技能命中他的次数。注意不要在他身上浪费多余的技能。
- Maokai在使用扭曲突刺时不会受到伤害，所以不要在这时浪费你的技能。",茂凯,Maokai,"-Saplings can be thrown into the grass to gain enhancement effects-but they will not stack either.  -Try not to cut in from the front, from the side or from other angles, which will make the natural grip inevitable or give the enemy a ""surprise"".  -Maokai's passiveness will make him particularly persistent in the face of skill concentration-provided that he can still perform basic attacks. ","-The sapling will chase the first enemy that is too close to it, but it will explode after a few seconds or collide with other enemies. Be especially careful with the saplings in the grass, because they are more dangerous.  -The cooldown of Maokai's self-healing depends heavily on the number of times you hit him with your skills. Be careful not to waste extra skills on him.  -Maokai will not take damage when using Twisted Spikes, so don't waste your skills at this time. "
荒漠屠夫 雷克顿,https://lol.qq.com/data/info-defail.shtml?id=58,"
- 横冲直撞非常适合骚扰。先释放技能突入，触发后使用直撞返回安全的位置。
- 狂怒状态下暴君狂击可以汲取额外的生命值，你可以借此让敌人错误的低估你。
- 冷却缩减对Renekton来说是不错的属性，可以迅速获得并使用怒气。","
- 在Renekton有足够怒气时，要格外小心，因为它通常标志着他准备发起攻击了。
- 通过持续骚扰Renekton，阻止其进行攻击并获得怒气，能极大降低他的技能效果。",雷克顿,Renekton,"-Rampage is great for harassment. First release the skill to enter, then use the direct hit to return to a safe position after triggering.  -In the furious state, the tyrant's frenzy can draw extra health, you can make the enemy underestimate you by mistake.  -Cooldown reduction is a good attribute for Renekton, you can quickly acquire and use rage. ","-When Renekton is angry enough, be extra careful, because it usually signifies that he is ready to attack.  -By continuously harassing Renekton, preventing him from attacking and gaining anger, the effect of his skills can be greatly reduced. "
德玛西亚皇子 嘉文四世,https://lol.qq.com/data/info-defail.shtml?id=59,"
- 你可以配合使用巨龙撞击和德邦军旗，离开终极技能形成的环形障碍。
- 团战前期攻击各个英雄而不是攻击一个英雄，可以将战争律动的伤害最大化。
- 可以把德邦军旗当作侦察工具。","
- 远离Jarvan IV和他的军旗之间的路径，以免被击飞。
- 虽然天崩地裂的环形障碍令人恐惧，但移动技能可以帮助你穿过。",嘉文四世,Jarvan IV,"-You can use the dragon strike and the German flag to leave the circular obstacle formed by the ultimate skill.  -In the early stage of team battle, attacking each hero instead of attacking one hero can maximize the damage of the war rhythm.  -You can use the German flag as a reconnaissance tool. ","-Stay away from the path between Jarvan IV and his ensign to avoid being knocked into the air.  -Although the ring-shaped obstacles are frightening, moving skills can help you pass through. "
蜘蛛女皇 伊莉丝,https://lol.qq.com/data/info-defail.shtml?id=60,"
- 蜘蛛形态在收割残血敌人时非常有效；人类形态的神经毒素能对生命充沛的敌人造成更多伤害。
- 蜘蛛形态下，小蜘蛛将会攻击被Elise施放了剧毒之蜇的目标。
- Elise的蜘蛛形态和蛛形技能不消耗法力，可以在你想要保存法力时优先施放。","
- 在你的生命值很低时，Elise的蜘蛛形态会更加危险，并且在你生命值很高时，她的人类形态会更有威胁。
- 盘丝将只会使Elise垂直地上下移动，除非她降落到一名敌方单位身上。
- 盘丝的冷却时间很长。在用完这招后，Elise将极Master Yi被攻击。",伊莉丝,Elise,"-Spider form is very effective when harvesting residual blood enemies; human form neurotoxin can cause more damage to enemies with abundant life.  -In spider form, the little spider will attack the target that has been cast by Elise with a poisonous sting.  -Elise's spider form and spider skills do not consume mana, and can be used first when you want to save mana. ","-When your health is low, Elise's spider form will be more dangerous, and when your health is high, her human form will be more threatening.  -Coiling will only cause Elise to move vertically up and down, unless she lands on an enemy unit.  -The cooling time of the coil is very long. After using this trick, Elise will be attacked by Master Yi. "
发条魔灵 奥莉安娜,https://lol.qq.com/data/info-defail.shtml?id=61,"
- 【E指令：防卫】可用于自身，让魔偶更快回到你身边。配合使用【E指令：防卫】和【Q指令：攻击】能对敌人进行快速骚扰。
- 如果魔偶在Orianna手上，那么【W指令：杂音】是很强劲的逃生技能。在加速的同时又能让敌人减速，效果很强大。
- 如果你正确掌控魔偶的位置，【R指令：冲击波】能让你拉近敌人或者远离敌人。","
- Orianna只能对魔偶所在的区域附近产生影响。利用这点来创造优势。
- 小心正返回Orianna身边的魔偶，可能会有让你意想不到的事情发生。",奥莉安娜,Orianna,"-[E Command: Defense] can be used for yourself to make the magic puppet return to you faster. Cooperating with [E Command: Defense] and [Q Command: Attack] can quickly harass the enemy.  -If the golem is in Orianna's hands, then [W Command: Noise] is a very powerful escape skill. While accelerating, it can also slow down the enemy. The effect is very powerful.  -If you control the position of the magic puppet correctly, [R Command: Shockwave] can let you draw closer or stay away from the enemy. ","-Orianna can only affect the area near the magic puppet. Use this to create an advantage.  -Be careful of the golem returning to Orianna, there may be unexpected things happening. "
齐天大圣 孙悟空,https://lol.qq.com/data/info-defail.shtml?id=62,"
- 配合使用腾云突击和真假猴王能够快速攻击敌人并在他们报复之前撤退。
- 尝试在草丛附近使用真假猴王，忽悠敌人。","
- Wukong通常会在使用腾云突击后使用真假猴王。保留技能，确保你击打的是Wukong真身。
- Wukong在被敌人包围时会变得更加难杀。尽量先孤立他，从而获得优势。",孙悟空,Wukong,-Using Tengyun Assault and True and False Monkey King can quickly attack the enemy and retreat before they retaliate.  -Try to use the real and fake monkey king near the grass to fool the enemy. ,-Wukong usually uses True and False Monkey King after using Tengyun Assault. Keep your skills and make sure you hit Wukong's real body.  -Wukong becomes more difficult to kill when surrounded by enemies. Try to isolate him first to gain an advantage. 
复仇焰魂 布兰德,https://lol.qq.com/data/info-defail.shtml?id=63,"
- 你可以对敌方英雄附近的小兵使用技能点燃他们，再使用烈火燃烧来溅射到敌方英雄。
- 你可以将Brand的技能自由组合，连招攻击。
- 烈焰风暴随机在周围敌人间反弹，如果您想对同一目标进行多次反弹，最好对一小撮敌人施放此技能。","
- Brand连招前一定要施放一个技能。躲避火焰烙印或烈焰之柱能打乱他的节奏。
- 当你看见Brand施放烈焰风暴时，远离友军。该技能初始飞行速度较慢，您的团队有一定反应时间。
- Brand的被动技能让他特别擅长对付聚在一起的敌人。在对付他时请确保阵形已经分散开。",布兰德,Brand,"-You can use skills to ignite the minions near the enemy heroes, and then use the fire to splash to the enemy heroes.  -You can freely combine Brand's skills and combo attacks.  -Flame Storm bounces randomly among surrounding enemies. If you want to bounce on the same target multiple times, it is best to cast this skill on a small number of enemies. ","-Brand must cast a skill before combing. Avoiding the flame brand or the pillar of flame can disrupt his rhythm.  -When you see Brand cast a flame storm, stay away from allies. The initial flight speed of this skill is slow, and your team has a certain reaction time.  -Brand's passive skills make him particularly good at dealing with enemies that gather together. Please make sure that the formation has been dispersed when dealing with him. "
盲僧 李青,https://lol.qq.com/data/info-defail.shtml?id=64,"
- 施放猛龙摆尾前先用天音波，这样Lee Sin可以用回音击瞬间接近目标。
-你可以在两次施放技能之间使用普攻，来充分利用【疾风骤雨】的优势——这样可以将伤害输出最大化，并可回复能量。
- 在打野时，先对自己释放金钟罩，再激活铁布衫，是一个非常好用的打野技巧。","
- 团战时猛龙摆尾有很强的输出。尽量分散站位以减少受到的冲击。
- Lee Sin的铁布衫和摧筋断骨能很好地对付物理输出，但是容Master Yi受魔法伤害。
- Lee Sin很依赖连招。你可使用限制技能阻止他连招。",李青,Lee Sin,"-Use the sky sound wave before casting the Raptor's tail, so that Lee Sin can instantly approach the target with the echo strike.  -You can use the basic attack between the two casting skills to take full advantage of the [Blurry Rain]-this will maximize the damage output and restore energy.  -In the jungle, release the golden bell to yourself first, and then activate the iron jersey. This is a very useful jungle technique. ","-The Raptors have a strong output during a team battle. Distribute the positions as much as possible to reduce the impact.  -Lee Sin's iron cloth shirt and broken bones can deal with physical output well, but Master Yi suffers magic damage.  -Lee Sin is very dependent on combos. You can use restriction skills to prevent him from combos. "
暗夜猎手 薇恩,https://lol.qq.com/data/info-defail.shtml?id=67,"
- 闪避突袭有很多用法，但不能穿墙。
- 恶魔审判能将敌人晕在墙边，帮助你造成击杀或者逃脱追击。
- 不要冲在团战的最前面，等待耐打的队友先上。","
- Vayne很脆弱——注意压制她，使其不得不谨Shen作战。
- 不要让Vayne有机会把你击晕到墙边。",薇恩,Vayne,"-There are many ways to dodge raids, but you cannot go through walls.  -Demon Judgment can stun the enemy against the wall, help you kill or escape the pursuit.  -Don't rush to the forefront of the team fight, wait for your teammates who are resistant to fight first. ",-Vayne is very fragile-pay attention to suppress her so that she has to fight with Shen.  -Don't let Vayne have a chance to stun you to the wall. 
机械公敌 兰博,https://lol.qq.com/data/info-defail.shtml?id=68,"
- 尝试让自己待在危险温度从而将技能效果最大化。如果技能使用过于频繁，很容Master Yi过热。
- 尝试让敌人待在纵火盛宴的作用范围内，这样可以持续造成更多伤害。
- 如果你即将获胜，可以使用终极技能阻止敌人逃离。","
- 留心Rumble的热量条。如果他处于过热状态，那么当他被沉默时，可以趁机击杀他。
- 如果你站在Rumble的终极技能范围内，将承受巨额的伤害。当你看见导弹降落时，就赶紧撤离吧。
- Rumble主要输出魔法伤害。出些魔抗来减少他对你的伤害。",兰博,Rumble,"-Try to keep yourself at a dangerous temperature to maximize the effect of the skill. If the skill is used too frequently, Master Yi can easily overheat.  -Try to keep the enemy within the scope of the arson feast, which can continue to cause more damage.  -If you are about to win, you can use ultimate skills to stop the enemy from escaping. ","-Pay attention to Rumble's calorie bar. If he is overheated, then when he is silent, you can take the opportunity to kill him.  -If you stand within the range of Rumble's ultimate skills, you will suffer a huge amount of damage. When you see the missile landing, get out quickly.  -Rumble mainly outputs magic damage. Use some magic resistance to reduce his damage to you. "
魔蛇之拥 卡西奥佩娅,https://lol.qq.com/data/info-defail.shtml?id=69,"
- 对被石化凝视眩晕的野怪和单位施放双生毒牙，可以达到最大伤害效果。
- 在施放瘟毒爆炸时要注意预测敌人的走位，这样才不会放空。","
- 当你已经中了Cassiopeia的毒时，要小心她的双生毒牙。
- 当她施放石化凝视时，你要背对她，这样只会被减速而不会被晕眩。",卡西奥佩娅,Cassiopeia,-Cast Twin Fangs on monsters and units stunned by the petrified gaze to achieve the maximum damage effect.  -Pay attention to predicting the enemy's position when casting a poisonous explosion so that it will not be empty. ,"-When you have been poisoned by Cassiopeia, be careful of her twin fangs.  -When she casts Petrified Gaze, you have to face her back so that you will only be slowed down and not stunned. "
水晶先锋 斯卡纳,https://lol.qq.com/data/info-defail.shtml?id=72,"
- 你的普通攻击会减少【Q水晶横扫】的冷却时间，因此可以在两次【Q水晶横扫】之间填充普通攻击，来最大化伤害输出。
- 先占据水晶尖塔，然后再尝试夺取尖塔附近的野区战略点或进行团战，就会让Skarner的表现足以亮翻全场。
- 【R晶状毒刺】在改变敌方英雄的位置时非常给力，尽量把目标拉到友军中间，让队友们都能打个爽吧。","
- 当你离Skarner较远时，Skarner就无法对你造成大量伤害，因此尽可能远离他！
- 只要Skarner的【W水晶蝎甲】释放的护盾存在，他的移动速度和就会得到提升。打破他的蝎甲，就能减缓他的移动速度。
- Skarner在水晶尖塔的区域里时会特别致命。如果准备在水晶尖塔附近开战，最好尽量先把水晶尖塔给占据了。",斯卡纳,Skarner,"-Your normal attacks will reduce the cooling time of [Q Crystal Sweep], so you can fill normal attacks between two [Q Crystal Sweep] to maximize damage output.  -Occupy the crystal spire first, and then try to seize the strategic points in the wild near the spire or conduct team battles. Skarner's performance will be enough to brighten the audience.  -[R Crystalline Stinger] It is very powerful when changing the position of the enemy hero. Try to pull the target among the friendly forces so that your teammates can have a good time. ","-When you are far away from Skarner, Skarner cannot cause much damage to you, so stay away from him as much as possible!  -As long as the shield released by Skarner's [W Crystal Scorpion Armor] exists, his movement speed will be increased. Breaking his scorpion armor can slow down his movement speed.  -Skarner is particularly lethal when in the area of the Crystal Spire. If you are going to fight near the crystal spire, it is best to try to occupy the crystal spire first. "
大发明家 黑默丁格,https://lol.qq.com/data/info-defail.shtml?id=74,"
- 炮塔的布局是战斗中一个决定性因素。对于大多数敌人，扎堆放置炮塔来攻击敌人是最佳方法，但如果敌人有很多群伤技能，那么你的防御塔可能很快就会被摧毁。此外，将炮塔放置在草丛中，可以进行有利于己方的突袭。
- 对于Heimerdinger的生存而言，【E电子风暴手雷】的成功命中是非常重要的。减速和晕眩效果都能让敌人乖乖呆在远处被你痛揍，但它也是对付敌方奇袭的第一道防线。","
- Heimerdinger召唤炮塔后，尽快伙同你的队友摧毁炮塔。炮塔聚集在一起后会变得很强力。
- 要当心Heimerdinger的终极技能，因为他能用终极技能来化解当前他所遇到的大部分麻烦。一旦他交出终极技能，就可以准备击杀他了！",黑默丁格,Heimerdinger,"-The layout of the turret is a decisive factor in combat. For most enemies, it is the best way to gather turrets to attack the enemy, but if the enemy has a lot of group damage skills, then your defensive tower may be quickly destroyed. In addition, by placing the turret in the grass, you can conduct a surprise attack that is beneficial to your side.  -For Heimerdinger's survival, the successful hit of [E Electronic Storm Grenade] is very important. The deceleration and stun effects can make the enemy obediently stay in the distance and be beaten by you, but it is also the first line of defense against the enemy's surprise attack. ","-After Heimerdinger summons the turret, work with your teammates to destroy the turret as soon as possible. The turrets will become very powerful when gathered together.  -Beware of Heimerdinger's ultimate skills, because he can use ultimate skills to resolve most of the troubles he is currently facing. Once he surrenders his ultimate skills, he is ready to kill him! "
沙漠死神 内瑟斯,https://lol.qq.com/data/info-defail.shtml?id=75,"
- 如果时刻注意用【Q汲魂痛击】来补刀的话，就能在游戏的后期拥有强大的冲击力。
- 如果你1个人单走一路，那么【E灵魂烈焰】会是一个很好的刷兵手段。如果你在一条有2个英雄的兵线上，并且推进太远的话，【E灵魂烈焰】就不那么好用了。在【Q汲魂痛击】的单体补刀与【E灵魂烈焰】范围伤害技能的刷兵之间找到正确的平衡点。
- 如果你防御力低下，人们就会集中攻击你，就算是你在终极技能的持续时间中。即使你要走物攻路线，也要尽量购买一些提高生存能力的装备。","
- 在使用终极技能变形时，Nasus要比联盟中的大部分英雄更加强大。除非你有明显优势，否则不要和他交战。
- 最高级的枯萎能有效地反击物理输出型英雄，若你是一个物理输出英雄，最好避免和他单挑。
- Nasus容Master Yi被放风筝（远程英雄保持距离让对手不能攻击到自己，但自己能攻击到对手）。尽量不要与满状态的Nasus交战。",内瑟斯,Nasus,"-If you always pay attention to using [Q Soul Punch] to make up the knife, you can have a strong impact in the late game.  -If you go all the way alone, then [E Soul Flame] will be a good way to spawn troops. If you are on a pawn line with 2 heroes and advance too far, [E Soul Flame] will not work so well. Find the right balance between the single-piece fill of [Q Soul Blow] and the spawning of [E Soul Flame] range damage skills.  -If your defense is low, people will focus on attacking you, even if you are in the duration of the ultimate skill. Even if you want to take the physical attack route, try to buy some equipment that improves your survivability. ","-When using ultimate skills to transform, Nasus is stronger than most heroes in the league. Unless you have a clear advantage, don't fight him.  -The most advanced Blight can effectively counterattack physical output heroes. If you are a physical output hero, it is best to avoid singles with him.  -Nasus Rong Master Yi is kite flying (the remote hero keeps a distance so that the opponent cannot attack him, but he can attack the opponent). Try not to fight with Nasus in full state. "
