champion_cn,champion,play_strats,counter_strats
李青,Lee Sin,"-Use the sky sound wave before casting the Raptor's tail, so that Lee Sin can instantly approach the target with the echo strike.  -You can use the basic attack between the two casting skills to take full advantage of the [Blurry Rain]-this will maximize the damage output and restore energy.  -In the jungle, release the golden bell to yourself first, and then activate the iron jersey. This is a very useful jungle technique. ","-The Raptors have a strong output during a team battle. Distribute the positions as much as possible to reduce the impact.  -Lee Sin's iron cloth shirt and broken bones can deal with physical output well, but Master Yi suffers magic damage.  -Lee Sin is very dependent on combos. You can use restriction skills to prevent him from combos. "
薇恩,Vayne,"-There are many ways to dodge raids, but you cannot go through walls.  -Demon Judgment can stun the enemy against the wall, help you kill or escape the pursuit.  -Don't rush to the forefront of the team fight, wait for your teammates who are resistant to fight first. ",-Vayne is very fragile-pay attention to suppress her so that she has to fight with Shen.  -Don't let Vayne have a chance to stun you to the wall. 
兰博,Rumble,"-Try to keep yourself at a dangerous temperature to maximize the effect of the skill. If the skill is used too frequently, Master Yi can easily overheat.  -Try to keep the enemy within the scope of the arson feast, which can continue to cause more damage.  -If you are about to win, you can use ultimate skills to stop the enemy from escaping. ","-Pay attention to Rumble's calorie bar. If he is overheated, then when he is silent, you can take the opportunity to kill him.  -If you stand within the range of Rumble's ultimate skills, you will suffer a huge amount of damage. When you see the missile landing, get out quickly.  -Rumble mainly outputs magic damage. Use some magic resistance to reduce his damage to you. "
卡西奥佩娅,Cassiopeia,-Cast Twin Fangs on monsters and units stunned by the petrified gaze to achieve the maximum damage effect.  -Pay attention to predicting the enemy's position when casting a poisonous explosion so that it will not be empty. ,"-When you have been poisoned by Cassiopeia, be careful of her twin fangs.  -When she casts Petrified Gaze, you have to face her back so that you will only be slowed down and not stunned. "
斯卡纳,Skarner,"-Your normal attacks will reduce the cooling time of [Q Crystal Sweep], so you can fill normal attacks between two [Q Crystal Sweep] to maximize damage output.  -Occupy the crystal spire first, and then try to seize the strategic points in the wild near the spire or conduct team battles. Skarner's performance will be enough to brighten the audience.  -[R Crystalline Stinger] It is very powerful when changing the position of the enemy hero. Try to pull the target among the friendly forces so that your teammates can have a good time. ","-When you are far away from Skarner, Skarner cannot cause much damage to you, so stay away from him as much as possible!  -As long as the shield released by Skarner's [W Crystal Scorpion Armor] exists, his movement speed will be increased. Breaking his scorpion armor can slow down his movement speed.  -Skarner is particularly lethal when in the area of the Crystal Spire. If you are going to fight near the crystal spire, it is best to try to occupy the crystal spire first. "
黑默丁格,Heimerdinger,"-The layout of the turret is a decisive factor in combat. For most enemies, it is the best way to gather turrets to attack the enemy, but if the enemy has a lot of group damage skills, then your defensive tower may be quickly destroyed. In addition, by placing the turret in the grass, you can conduct a surprise attack that is beneficial to your side.  -For Heimerdinger's survival, the successful hit of [E Electronic Storm Grenade] is very important. The deceleration and stun effects can make the enemy obediently stay in the distance and be beaten by you, but it is also the first line of defense against the enemy's surprise attack. ","-After Heimerdinger summons the turret, work with your teammates to destroy the turret as soon as possible. The turrets will become very powerful when gathered together.  -Beware of Heimerdinger's ultimate skills, because he can use ultimate skills to resolve most of the troubles he is currently facing. Once he surrenders his ultimate skills, he is ready to kill him! "
内瑟斯,Nasus,"-If you always pay attention to using [Q Soul Punch] to make up the knife, you can have a strong impact in the late game.  -If you go all the way alone, then [E Soul Flame] will be a good way to spawn troops. If you are on a pawn line with 2 heroes and advance too far, [E Soul Flame] will not work so well. Find the right balance between the single-piece fill of [Q Soul Blow] and the spawning of [E Soul Flame] range damage skills.  -If your defense is low, people will focus on attacking you, even if you are in the duration of the ultimate skill. Even if you want to take the physical attack route, try to buy some equipment that improves your survivability. ","-When using ultimate skills to transform, Nasus is stronger than most heroes in the league. Unless you have a clear advantage, don't fight him.  -The most advanced Blight can effectively counterattack physical output heroes. If you are a physical output hero, it is best to avoid singles with him.  -Nasus Rong Master Yi is kite flying (the remote hero keeps a distance so that the opponent cannot attack him, but he can attack the opponent). Try not to fight with Nasus in full state. "
奈德丽,Nidalee,"-Make good use of the grass! Getting in and out of the grass can greatly affect your effectiveness in combat.  -At the beginning of the team battle, use your [Q Javelin Throw] to suppress the enemy, and then switch to the cougar form to pursue the hunted target.  -[W Jungle Ambush] traps will cause damage based on the current health of the prey. Placing them in the back row of your own team can help your team cause damage to the enemy's front-row heroes when the opponent charges. ","-Nidalee’s [Hunting] debuff effect can only be applied through [Q Javelin Throw] and [W Jungle Ambush]. Pay attention to dodge these skills, you can reduce her ability to add damage.  -The farther Nidalee's [Q Javelin Throw] flies, the higher the damage it causes. If she throws a javelin from a distance, then she must avoid her javelin.  -Nidalee's [Q Down] will cause extra damage to the target being hunted, but she needs to get close before using this skill. Save your control skills or defense skills until she comes to pick up the head. "
乌迪尔,Udyr,"-After the turtle spirit state is switched, the damage absorbed by the shield is calculated after calculating the magic resistance and armor. Therefore, purchasing defense items can greatly increase your survivability.  -Udyr is one of the best jungle heroes in the game. Using this can give your team a great experience advantage and control the map well. ","-Udyr usually appears from the wild area, attacking players on the line. Place investigative guards in important locations to control his movements.  -Once the initial shield is gone, the turtle stance will be very weak against other heroes. The fierce attack forced him to change his posture and prevented him from returning to life.  -Some Udyr players buy tank items to enhance their survivability. You can instead attack his relatively weak teammates. "
波比,Poppy,-The round shield of the passive skill [Steel Ambassador] tends to fall near the wall. Use this as much as possible to make [E Heroic Charge] work.  -You can cast [R Guard's Decision] immediately to repel the enemy. You can use this feature to gain an advantage in heads-up. ,"-Poppy can use her [W Firm Demeanor] to stop the enemy's advance.  -When Poppy starts to spin her hammer, it means that she is charging her ultimate skill [R Holder's Decision].  -You can step on Poppy's shield to prevent it from providing her with a shield. "
古拉加斯,Gragas,"-The damage reduction effect of Drunken Rage will take effect at the beginning of channeling, so try to use it when you are about to take damage.  -Try to use blasting kegs to knock the enemy back under your defense tower.  -Try to combine meat bomb impact with explosive barrels to create murder for your team. ","-Gragas can defeat everyone with its ultimate nirvana. Be careful not to get hit by him, or worse-hit the enemy tower.  -The cooling time of Meatball Impact is very short, it is difficult for you to chase Gragas, don't chase too much. "
潘森,Pantheon,"-[Retirement] will be activated after 5 skills or basic attacks-plan ahead so that you can activate [Retirement] more than once in battle.  First consume the enemy with the [Q Through Star Spear], and then jump over to execute them.  If an enemy is about to get out of the range of your [E God Bless Spear Array], you can cast this skill again to immediately slam with the Holy Shield. ","-Pantheon’s [E God Bless Gun Array] will make him immune to damage from the front. Go around behind him or wait patiently.  If your health is low, beware of Pantheon's approach-the throwing version of the [Q-Star Spear] will execute enemies with low health.  [R Great Wilderness Starfall] will give a warning a few seconds before Pantheon arrives. Use this time to run out of scope or make a plan to deal with him. "
伊泽瑞尔,Ezreal,"-Use Arcane Jump to make your other skills more for Master Yi to hit.  -You can play Ezreal as a late physics or legal system, depending on how you upgrade your skills and produce equipment.  -You can cast precise barrage to attack multiple waves of creeps and even monsters. ","-Ezreal is very vulnerable, you can attack him first.  -Ezreal attacks completely with skills, you can hide next to the creeps and use them to dodge his skills.  -Secret shooting can be accompanied by attack effects, including the buff (burn + slow) of the crimson mark tree monster in Summoner's Canyon. "
莫德凯撒,Mordekaiser,-Your defense is offense. Keep fighting to accumulate a thicker [Indestructible Body] shield.  Hitting multiple heroes with the same skill can help activate [Darkness Up] quickly.  Using [Reincarnation Despair] on enemies with low HP can ensure that they are killed and their attributes are maintained until the end of a team battle. ,"-Mordekaiser will accumulate a powerful aura of damage when fighting a hero, so try to keep a distance from him.  The damage he causes can be transformed into a thick shield, and consume it to heal health.  [Reincarnation of Despair] will completely separate you from your teammates. Once so, try to keep your mobile skills to escape from Mordekaiser's clutches. "
约里克,"Yorick,","-You don't need to cast [Awaken] to regain the ability to cast [End Ritual].  -The Maid will assist you in the battle, so choose your target wisely.  -You can ask the Maid to go to the Single Belt One Road, but Shen is important because she is an important part of your combat effectiveness. ","-You can use punishment on the Mistwalker and the Mist Maiden to cause damage or kill directly.  -Try to reduce the number of servants of Yorick, and then fight him again. It only takes one basic attack or a single skill to solve a fogwalker.  -You can attack [Dark Spirit Haunted] to break the wall. "
阿卡丽,Akali,"-Akali is good at killing crispy heroes. Let your team initiate the initiative, and then you attack from behind the enemy.  -[W I flow upright! Xayah Formation] Even in the most dangerous situations, it can provide her with protection. Use that duration to accumulate energy and launch a quick attack. ","-Akali is being [W, I have a profound meaning! Xayah array] will still be hit by area damage skills when covered. Doing so will temporarily reveal her position.  -Akali’s [Q I flow upright! Cold Shadow] is very powerful, provided it is used at maximum distance and maximum energy. You can maximize your chances by fighting her when her energy is low.  -When your HP is low and Akali's ultimate skills have not been handed over, please withdraw to the base as soon as possible. "
凯南,Kennen,"-You can stack 3 [Ninfa! Thunder Bound Seal] to stun your opponent.  -[E Upanishad! Thunder Armor] can be used to cut into the battlefield, because the energy recovery brought by hitting an enemy can make him use other skills later.  -You can use [Q Upanishad! Chidori] Initiate the first paragraph of [Ninja! Thunder Bound Seal] effect, and then release [W Profound Truth! Electric Blade]. ","-When you have [Ninfa! Thunderbolt Seal] When debuffing, be careful around Kennen. If you have [Ninfa! Thunder Seal] When you reach the 3rd floor, you will be dizzy.  -Kennen's small body is very fragile-if he surrenders the Master Yi lightly [Euyi! Thunder Kai], then you can launch an offensive against him. "
盖伦,Garen,"-If Garen can last a few seconds without being attacked, his health regeneration will be greatly increased.  -If there is only one enemy in the range of [Judgment], then it can cause maximum damage. In order to exchange blood efficiently, please try to make sure that there is only one enemy hero in the range of [Judgment] when moving.  -Garen is only limited by the cooling time. Items such as [Black Cutter] are extremely effective for him. ","-Heap armor can effectively reduce Garen's massive physical output.  -When your health is low, avoid Garen as much as possible, because his [Demacian Justice] can quickly kill you.  -Be careful when attacking Garen in the grass, because you will receive full damage from the judgment skill.  -[Judgment] will only cause maximum damage when attacking a single target. If you can't get out of the range of this skill, go through friendly creeps to reduce the damage. "
蕾欧娜,Leona,"-Take the lead to charge and mark the target with daylight before friendly forces attack the target.  -The combination of the Dawn Shield and the Zenith Blade has strong attack power.  -Solar eclipse damage is great, but you must be near the enemy to continue its effect. ","-When Leona releases a solar eclipse, you have 3 seconds to avoid the damage caused by it.  -Only enemies in the center of the solar flare's effect will be stunned. If you run fast, you can avoid being stunned. "
玛尔扎哈,Malzahar,"-Save [W Void Swarm] to use when there are enemies nearby for the Void to attack or kill.  -Use [Q Void Summon] and [R Grasp of the Hades] to refresh the duration of [E Fiend Phantom] on the enemy.  -Avoiding injuries in laning can maximize the coverage time of [Void Crossing], thereby significantly improving Malzahar's survivability. ","-When Malzahar uses his skills to hit an enemy infected with [E-Fairy Vision], the duration of [E-Fast Star Vision] will be refreshed.  -Stay away from the creeps who have been hit by [E-Faculty Vision], so as not to pass the illusion on them to you.  -Malzahar is extremely dangerous when accumulating [W Void Swarm]. "
泰隆,Talon,"-[E Assassin's Way] can be used to copy the enemy's back path to create conditions for the melee attacks of [Q Noxian Diplomacy].  -Shadow Assault is a strong escape skill, but it can also be used to launch an offensive against an enemy team.  -Select the target before the battle. It is very effective to concentrate all the skills on one target, but if the skills are distributed to multiple targets, the effect will be little. ","-Talon's attacks are all physical damage. Out of armor equipment as early as possible to counter his burst damage.  -Talon relies heavily on Shadow Assault to escape the battle. When Shadow Assault is on cooldown, Master Yi will be set on fire.  -Talon has unparalleled walking ability. Make sure to track his position at all times, or force him to stay on the line by aggressive push. "
锐雯,Riven,"-Riven's Wing-Folding Ball will be cast toward the position where you hovered while casting. If you want to use this trick to intersperse your enemies, please make sure your enemies are between Riven and your mouse hover position.  -Riven has less blood and low defense, but as compensation, her combo bursts are high. The Dance of Folding Wings and the Shocking Roar can be used to cut into battle, and to go forward can be used to escape and anti-harassment. ","-Riven's mobility is excellent, but a single skill cannot make her move too far. Using restraint/silence between skills will greatly reduce her influence.  -All of Riven’s damage is physical damage. If the opposite Riven has lost control, the armor will be piled first.  -Riven is good at dealing with multiple melee combat at the same time. If you want to deal with her jointly, please don't enter the melee range until she finishes her whole set of moves. "
克格莫,Kog’Maw,"-Kog’Maw has a longer range than most heroes when using [W Biochemical Barrage].  -With the help of [E Void Sludge], you can cast a perfect [R Living Cannon].  -Use [Surprise from Icathia] to cause damage to as many enemies as possible. ","-Kog’Maw has no good escape skills, so he is a good attack/gank target.  -Stay away from Kog’Maw after his death!  -The range of the living cannon increases with the skill level.  -Kog’Maw Master Yi killed Baron Nash with biochemical mystery bullet mist. If Kog’Maw has already purchased the Blade of the Ruined King, it is very useful to cut in to prevent it from stealing the baron. "
慎,Shen,"-Keep an eye on your teammates and be ready to save them with your ultimate skills.  -Your energy can be recovered continuously and quickly, so you can use this to gradually accumulate advantages when laning with heroes using mana. ","-Be prepared to avoid Shen's taunts and fight back if he makes a mistake.  -Once Shen reaches level 6, pay attention to his use of full map teleport ultimate skills to quickly reverse the situation of local battles. "
拉克丝,Lux,"-Lux has powerful area control skills and uses light-transmitting singularities to prevent enemies from moving forward or escaping.  -If you can't cast the Curved Light Barrier well, remember that it will return after reaching the maximum range. Try to use the returned curved light barrier to protect allies.  -The light-transmitting singularity is a good detection tool, use it to detect ambushes in the grass before entering the grass. ","-Lux has multiple powerful area control skills. Try to disperse and attack from different directions, so that she can't lock a certain area.  -When you retreat from anemia, be prepared to avoid the ultimate flash of Lux. There will be a red laser beam that precedes the main beam, so try to avoid it horizontally when you see red light. "
泽拉斯,Xerath,"-Cast [Q Arcane Pulse] when the enemy is running towards or fleeing you, the hit rate will be higher than when the enemy is close to you.  -[W Destroying Eye] can slow down the target and help [Q Arcane Pulse] hit.  -Once you hit an enemy hero with [E Shock Sphere], you must be able to hit the enemy with the center area of [W Destruction Eye]. ","-Xerath's cast range is amazing, but as long as it is consumed close and hard, most heroes can take advantage of him.  -It takes a long time for Xerath to start [R Arcane Ritual]. Pay attention to his casting animation, and then hide the skills happily.  -[Banshee Veil] will make it more difficult for Xerath to use [E Shock Orb] to launch combo moves against you. "
希瓦娜,Shyvana,"-Shyvana's attacks can bring benefits to all her skills. The equipment that provides attack speed is more valuable to her than other heroes.  -[E Flame Breath] It is worth putting in points when mixing lanes.  -【W Lihuo Liaoyuan】is an ideal choice for junglers. The monster will be hit for the full duration, and the movement speed bonus of this skill can enhance her ability to catch people.  -It is very useful to buy a gear that can slow down: [Frost Hammer], [Dead’s Plate Armor] or [Frost Warhammer]. ","-It is worth noting that Shyvana's power is generated through offense, making her very difficult to fight against enemies who can keep a certain distance from her.  -All of Shyvana's basic skills can attack multiple enemies in the form of a dragon. Therefore, don't get together when fighting her.  -When the rage tank is full, Shyvana can use ultimate skills. It is very effective to suppress her when her anger is low. "
阿狸,Ahri,"-Use [Charming Hex] to activate your combo, it will make [Orb of Deception] and [Demon Foxfire] more for Master Yi to hit the enemy.  -In team battles, use the charm of magic to take the lead, and use [Spirit Assault] to chase down the single enemy.  -[Spirit Assault] can create opportunities for Ahri's other skills. It can clear a way for [Charming Hex], help [Deception Orb] hit the enemy twice, and rush to the enemy to allow [ Monster and Fox Fire] Master Yi chooses the target. ","-After the ultimate skill [Spirit Assault] enters the cooldown phase, Ahri's survivability can be described as terribly low.  -Stay behind the creeps to make [Charming Hex] difficult to hit, which can significantly reduce Ahri's potential burst damage. "
格雷福斯,Graves,"-[W Smoke Bomb] can be used to escape or kill.  -You can use [E Quick Pull Gun] to approach the enemy, and then use [Q Large Lead Shot] to cause huge damage. ","-Graves mainly cause physical damage, so armor is a very effective countermeasure.  -Leaving the range of smoke bombs can make the harmful effects of smoke bombs disappear immediately. "
菲兹,Fizz,"-Fizz can ignore the collision volume of the unit when moving, and can cross the minions to take the enemy hero and poke him with the passive effect of your [W Seastone Trident]-and then activate the active effect to continue poke after a few seconds.  -Fizz’s ultimate skill, [R Giant Shark Assault], can be cast towards an enemy or towards an area where the enemy is about to walk.  -Fizz’s skill damage will be boosted by spell power-when facing the threat of a high-burst team, you can consider buying [Zhongya Hourglass] or [Banshee Veil]-and if you are confident that you don’t rely on HP to increase If you succeed in the survival ability provided, you can choose [World Destroyer’s Death Hat] or [Lich’s Bane]. ","-Within a few seconds after Fizz uses his enhanced attack, Fizz's attack will become very deadly-stay away from him when his trident is flashing!  -Fizz with all skills is an elusive target-lure him to surrender skills in advance and then use control or high explosive skills to teach him well! "
沃利贝尔,Volibear,,
雷恩加尔,Rengar,"-In team battles and encounters, use Rengar's ultimate skills to find and assassinate high-priority enemy heroes.  -Most of Rengar's power comes from the enhanced skills he uses at the right time, please choose wisely!  -When chasing the opponent, cross the grass more to take advantage of Rengar's passive skills. ","-When Rengar's resource slot is full, his skills will be enhanced once. Try to fight him when his resource slot is low.  -Rengar's passive skills allow him to jump out of the grass and avoid fighting him near the grass.  -During the disguise period of the ultimate ability, Rengar will find the enemy hero closest to him. "
韦鲁斯,Varus,"-Click on the withered quiver as soon as possible to help suppress enemy heroes and make up for the sword.  -In close combat, it is sometimes better to release the Piercing Arrow quickly, instead of having to charge it up each time.  -Try to use the super long range of the Piercing Arrow to gain an advantage before the start of the battle, or to snipe the enemy when the enemy is running away. ","-If you are given a blight effect, Varus' skills will cause additional damage to you.  -When Varus gets a kill or assist, his attack speed will be temporarily increased, thus becoming more dangerous.  -If you are touched by a vine in Varus' ultimate skill ""Chain of Corruption"", then you will be locked in place. As long as you keep your distance and don't let the vine touch you, you can let it die naturally. "
诺提勒斯,Nautilus,"-When catching people, you can use [Q to clear the channel] to aim at the nearby terrain, and then use [E undercurrent surge] to get a higher hit rate.  -[E undercurrent surging] takes effect more slowly-you can use this to give the enemy a threat while fleeing. ","-If Nautilus puts [E undercurrent surging] next to you, it's best to stay in place for a while before running away. If you escape too early, you will run to the second stage of the explosion area, causing you to receive additional damage and slowing effects.  -When Nautilus puts on the shield, he can use normal attacks to output a huge range of damage-if you have time, you may wish to destroy his shield first. "
维克托,Viktor,-[E Death Ray] is a powerful blood grinding skill and a powerful area blockade tool. Combine it with [W Gravity Field] to control the enemy's position.  -Make sure you choose the right skill enhancement at the right moment. ,"-Always pay attention to the distance between Viktor and you. The closer you are to your opponent, the stronger Viktor's ability to control the field.  -Pay attention to which skills Viktor has upgraded, you can identify it by the color of his cane (purple, yellow, blue, red). "
瑟庄妮,Sejuani,"-[Q Chilling Assault] can be used to escape from harsh situations, interrupt guidance skills or hunt down fugitives.  -Melee allies can help your [E Permafrost Domain] stack frost layers, pay attention to who they are attacking.  -In a small team battle, it is best to save [R Extreme Ice Cold Hell] until there are teammates nearby to create an advantage together before casting. ","-Avoiding [Q Arctic Assault] and [R Arctic Ice Hell] can give you a huge advantage.  -Be careful to avoid the second swing of [W Winter's Fury], because this swing will cause explosive damage.  -Melee enemies can also stack frost effects for Sejuani. Be careful with them. "
菲奥娜,Fiora,"-With the help of [Dance of Duel], Fiora is particularly good at performing quick blood swaps. The movement speed bonus after attacking the vulnerability can be used to escape without injury, and to launch the next attack.  -Fiora's [Wushuang Challenge] is very useful, and can even help her solve the toughest opponents, and provide a recovery effect after success, so don't hesitate when attacking the enemy's front row hero. ","-[Duel Dance] will show where Fiora will try to attack you, so be prepared to teach her when she tries.  -Be especially careful when casting imprisonment skills on Fiora. If her [Laurent Heart Eye Sword] is still available, then she can reverse the effects of this type of skill against you. "
吉格斯,Ziggs,"-Even if you are far away from the place where the team battle takes place, you can use the [R-Science Hell Cannon] to help your teammates at a distance.  -Use [E Hex Blast Minefield] to slow down your enemies, which will make your other skills more hit by Master Yi.  -Use [W fixed-point blasting] to penetrate the wall, you can be more powerful when chasing or escaping. ","-Don't step on the mines of Ziggs! They will slow you down and will make Ziggs' other skills more Master Yi hit you.  -Many of Ziggs' skills have long cooldowns. Can attack when he has just used the skill.  -Ziggs' ultimate skill, the scientific hell artillery, will cause more damage in the central area of the explosion. "
璐璐,Lulu,"-【Sparkling Spear】can be launched from weird angles, depending on the position of your pointer-bringing your pointer close to Pixar and Lulu will greatly change its range.  -You can use [Wonderful Ideas] on the wizard to obtain magical bonuses. [Help, Pixar! 】Used on the shooter to make Pixar’s missiles throw more frequently, and use [Wild Wild Long] on tanks or fighters to strengthen the ability to move forward. ","-The missiles fired by Lulu's faeries can be intercepted-hide behind your creeps to avoid extra attacks from the faeries.  -Lulu is particularly good at catching opponents' mistakes. Don't give her any chance! To keep suppressing, and drive her and her partner out of the experience zone together. "
德莱文,Draven,"-If Draven stays in place, the spinning throwing axe will fall near his location. Maybe it will fall directly on him, maybe it will be on the left or right.  -If Draven moves after the attack, the spinning throwing axe will move in the direction he is moving. Use this to control the trajectory of the rotating throwing axes. ","-Cast trick shots towards the location where Draven's spinning throwing axes are about to land.  -Disturb Draven and let him throw his axe. If you do, then his combat effectiveness will be significantly reduced. "
赫卡里姆,Hecarim,"-[W Fear Spirit] will restore Hecarim's health when surrounding enemies are damaged, even if the damage is caused by Hecarim's teammates. Casting this skill in a large team battle can maximize Hecarim's survivability.  -[E Destruction Charge] will output more damage according to the distance moved. Try to use [R Shadow Impact] or Summoner skills such as [Ghost Walk] or [Flash] to maximize the damage of this skill. ","-Hecarim can draw health from nearby enemies with the spirit of fear, but he is not very resistant to beatings. Throw the burst skills to him!  -Hecarim's ultimate skills can make enemies panic and flee for their lives. Disperse as much as possible during team battles to weaken his combat effectiveness. "
卡兹克,Kha’Zix,-Enemies who do not have any friendly forces within a certain distance can be considered helpless. [Q Taste Fear] will significantly increase the damage to these targets.  -[Invisible Fear] will activate when Kha’Zix is not seen by the enemy team. It can be activated repeatedly by using grass or [R Void Strikes]. Don't forget to use normal attacks to give the enemy hero the effect of [Invisible Fear].  -Kha’Zix has great freedom in choosing combat locations and combat timing. I wish Shen to participate in team battles and win victory. ,"-[Q Taste Fear] will cause extra damage to isolated targets. Fight near friendly soldiers, heroes or towers to gain an advantage.  -[E Leap Attack] and [R Void Strikes] have a long cooling time. Before they cool down, Kha’Zix’s ability to escape will be greatly reduced. "
德莱厄斯,Darius,"-[Big Kill Quartet] is a very powerful suppression skill. The effect is the best when hitting the enemy with its maximum range.  -The more [Bleeding] effect you apply to the target, the higher the damage of [Noxus Guillotine]. Use [Noxus Power] to cause maximum damage.  -Improving survivability can make Darius a great benefit. The longer the battle lasted, the stronger he became. ","-When Darius's ruthless iron hand is in the process of cooling down, you can suppress Master Yi lightly.  -Darius's ability to escape combat is extremely limited. If you have an advantage against him, drag him into your rhythm. "
杰斯,Jayce,"-Remember to switch positions frequently. Doing so will strengthen your attack and increase your movement speed explosively.  -If you find that you are taking a lot of damage, please switch to Jayce's hammer form, it will provide you with defensive attributes.  -Try to make the electric shock pass through the acceleration door to gain range and damage increase. ","-Jayce can freely switch between melee attack and ranged attack. Pay attention to his posture and weapon color to learn how he attacked.  -If you see Jayce throwing his acceleration door, you have to be careful, because he is very likely to be able to shock.  -Jayce was very strong in the early stage. If he gains the advantage, you'd better play conservatively. "
丽桑卓,Lissandra,"-You can use the smart self-casting key and the ultimate skill shortcut (alt+R by default) to immediately use the ultimate skill on yourself.  -After casting Glacier Path, run in the opposite direction to make your enemies confused about which way you are going.  -Lissandra's skill range is shorter than most wizards. Therefore, it is necessary to purchase equipment that has both spell power and survival attributes, such as Zhongya's hourglass and abyss mask, which can help her survive while outputting damage. ","-The best way to prevent Lissandra from using the Glacier Path is to restrain her before she activates the trick again.  -Before Lissandra's Frost Circle is full, the cooling time will be longer; so try to fight her before the Frost Circle has cooled down.  -Lissandra's ice fragments will only slow down the first target hit. By following our little soldier, you can avoid the risk of being slowed down when you approach her. "
黛安娜,"Diana,","-The hit of the New Moon Strike is crucial, but don't worry too much if you miss it. Its cooling time is very short, and its mana consumption is very low.  -Think about when to cast Luna Charge without moonlight effect, and when to wait for another Crescent Strike.  -Use Moon's Descent and Luna Charge to stick to the target, and activate the Moon Silver Blade to get extra damage. ","-Avoid the new moon strike, or move to a safe location when you are given a moonlight effect.  -The orb of Pale Waterfall can only last a few seconds. Ignore her first, and then exchange fire with her after her shield is gone.  -Even if Diana doesn't combine Luna Charge with the moonlight effect, she can be very aggressive, but you can teach her by slowing down or dizzy when she can't go back. "
奎因,Quinn,"-Attack one marked by Hua Rakan  Master Yi loss  The target will let the infestation enter the cooling phase. The sooner the infestation mark is consumed, the sooner a new infestation mark can be obtained.  -[E Xuanxiang Looting] is very powerful, but you must be very careful when using Shen, because the enemy can attack Quinn when she launches an offensive. If you lean against the wall, you can sometimes use [E Spinning and Looting] to cross the terrain.  -[R Going Deep Behind Enemy Lines] can be used in many ways: quickly make long-distance runs, make money across the map, or hunt down injured targets. ","-After being marked, keep a distance from Quinn so that she cannot take advantage.  -Pay close attention to Quinn's location. [R goes deep behind enemy lines] You can recruit Hua Rakan to quickly traverse the map and launch unexpected attacks.  -When Quinn uses [R Deep Behind Enemy], damage her to temporarily remove her movement speed bonus. "
辛德拉,Syndra,"-In order to maximize your ultimate damage, please use it when there are many dark orbs on the battlefield.  -After you hit an enemy hero with your driving power, catch a dark magic ball, which can slow down the target hero and make the target feel uncomfortable for a while.  -Upgrade a small skill to level 5 as soon as possible, and then the skill can gain additional effects. ","-When fighting Syndra, buying shoes as early as possible can help you avoid most of her skills.  -Attack her after Syndra surrenders the weak to disperse, because the cooldown of the weak to disperse is very long, so she has no life-saving ability at this time.  -Syndra's skills will gain additional effects after reaching full level, and their appearance will also change. "
奥瑞利安索尔,,"-You can use [E Star Flow Overflow] to fly with the star core of [Q Galaxy Surge], so that the explosion range of the star core can be increased considerably.  -If necessary, you can leave [R Star String High Fall] for the enemy melee heroes-in addition, you can also use its slowing effect to start a group from a distance.  -【E Star Flowing】 allows you to move quickly on the map; use it to put pressure on other routes. ","-Try to break into his star orbit, so that his protective planet will not hurt you.  -His body planet will disappear when being stunned or silenced. Use this to capture the opportunity for war.  -He will gain movement speed bonus when chasing in a straight line, but as long as damage is applied to him, his movement speed bonus will be reset.  -The explosion range of his [Q Galaxy Rapids] can grow to an extremely terrifying level-don't stay in one place for too long! "
凯隐,Kayn,"-Before choosing your form, be optimistic about the composition of your own team and the enemy team.  Remember, nearby enemies can see which wall you are in. ","-[Splitting Shadow] Kayn needs to damage the target first. Try to avoid [Blade Longitudinal] to prevent him from casting [Shadow of Splitting] from a distance.  -When Kayn is in the terrain near you, you can receive a visual warning at the edge of the terrain where he is.  Inflicting damage to Kayn while in the state of [Shadow Step], you can shorten the duration of this state, or apply hard control effects (stun, charm, knocking, etc.) to him to immediately end the state of [Shadow Step]. "
佐伊,Zoe,"-Zoe’s [Q Fei Xing Ran In] can cause more damage based on the distance the little star has flown. Cast it towards your back and redirect it to cause tons of damage.  Use your strongest source of damage to wake up the target, because the slumbering enemy will take double damage.  [E Hypnotic Bubble] can cross the wall. Find a place to hide so that you can launch a deadly offensive from a distance. ","-Zoe’s [Q Fei Xing Ran In] can cause more damage based on the distance the little star has flown.  Zoe must return to her original location after casting [R Reentry Jump], and this feature allows her to be countered by Master Yi.  [E Hypnotic Bubble] can cross the wall. Prevent Zoe from hiding in the fog of war to prevent her from launching an offensive in secret. "
婕拉,"Zyra,","-After your skills are cast, plant seeds on your skill path to ensure that your seeds can become 100% plants.  -Seeds can provide vision for your team, please make good use of it.  -Zyra, is an excellent ambushman-looking for an opportunity, then set a trap in the grass, and then lure the enemy in. ","-You can destroy Zyra's seeds by stepping on them. If she wants to grow seeds into plants when you are about to do this, then retreat at the last minute.  -If Zyra, put the plant too far away from herself, it would be a wise move to stick to her.  -Plants will receive fixed damage from attacks and effects, similar to guards. They themselves will die out quickly.  -Moving the battle to a different place will make Zyra unable to effectively use the seeds she has accumulated.  -Zyra,’s [W mad wild long] planted bigger seeds, different colors, and will provide her team with a small view. "
